congress_1,bill_number_1,result_1,similarity,congress_2,bill_number_2,result_2
110,h2261,,0.5082154975615767,111,h1146,
110,h2829,,0.5321095693863922,111,h1146,
110,h2870,,0.724814677856471,111,h1149,
110,h3796,,0.741416847524278,111,h1149,
110,h279,Failed,0.9822301063088724,111,h115,Passed
110,h3675,,0.6765018028159508,111,h1155,
110,h6212,,0.6702626127430319,111,h1158,
110,h1635,,0.6414250229343526,111,h1159,
110,h116,Passed,0.9892107455744126,111,h116,Passed
110,h1794,,0.964707793014494,111,h1161,
110,h1933,,0.5426533234630107,111,h1162,
110,h3823,,0.5818265213054173,111,h1162,
110,h5869,,0.5859355035723014,111,h1162,
110,h853,Passed,0.5029069280565721,111,h1165,
110,h1671,,0.5694900129106054,111,h1169,
110,h4299,,0.5503397602763255,111,h1169,
110,h5999,,0.5216723882262418,111,h1169,
110,h136,Passed,0.5048524745346692,111,h1171,
110,h2559,,0.6203022722921797,111,h1171,
110,h32,Passed,0.5335264135977873,111,h1171,
110,h3352,,0.5911036626524292,111,h1171,
110,h5861,,0.5690094683935385,111,h1171,
110,h806,Failed,0.5446576488439903,111,h1171,
110,h2903,,0.5395154262608581,111,h1174,
110,h1047,Passed,0.8112660282572227,111,h1176,
110,h2810,,0.5511878551532114,111,h1176,
110,h972,Passed,0.8577173639688281,111,h1176,
110,h3818,,0.5136620937273347,111,h1177,
110,h497,Passed,0.5329318459642354,111,h1177,
110,h2557,,0.563780262089152,111,h1179,
110,h5747,,0.5970880788449175,111,h1182,
110,h4440,,0.8132100891403835,111,h1183,
110,h4595,,0.7608818521891564,111,h1183,
110,h531,Passed,0.5271648321959798,111,h1185,
110,h1877,,0.750976158691961,111,h1186,
110,h388,Passed,0.688615520642099,111,h1186,
110,h513,Passed,0.5403869684724396,111,h1186,
110,h182,Agreed to,0.5007486553775479,111,h1188,
110,h3095,,0.5217868217396504,111,h1188,
110,h4291,,0.5177687452404979,111,h1188,
110,h3198,,0.5994224339878015,111,h1189,
110,h4120,,0.6722775371113983,111,h1189,
110,h912,Failed,0.9623271170178335,111,h1189,
110,h1920,,0.7288804401348588,111,h1190,
110,h6005,,0.9022949798598668,111,h1192,
110,h1448,,0.9958057355645477,111,h1193,
110,h36,Agreed to,0.8460163448495381,111,h1193,
110,h1792,,0.8631089016466856,111,h1194,
110,h1621,,0.5513085871038916,111,h1195,
110,h1736,,0.6139338930048033,111,h1195,
110,h2139,,0.5059006164621166,111,h1195,
110,h2418,,0.576183935094504,111,h1195,
110,h2453,,0.9825710792678595,111,h1195,
110,h2527,,0.5276825330779793,111,h1195,
110,h2760,,0.5615447278374395,111,h1195,
110,h2778,,0.5484631921144006,111,h1195,
110,h2789,,0.5285195266525754,111,h1195,
110,h2968,,0.5506933449439828,111,h1195,
110,h3187,,0.5082119645151637,111,h1195,
110,h3818,,0.6908045711879589,111,h1195,
110,h4104,,0.5170982246297555,111,h1195,
110,h4107,,0.6352781581342041,111,h1195,
110,h497,Passed,0.7050607034155315,111,h1195,
110,h5840,,0.6504104693079872,111,h1195,
110,h6331,,0.5940390296994449,111,h1195,
110,h6571,,0.6734376753732857,111,h1195,
110,h886,Failed,0.6020834594443771,111,h1195,
110,h100,Failed,0.6214164546539869,111,h1199,
110,h1196,,0.5095843708731522,111,h1199,
110,h1274,,0.6049800368013512,111,h1199,
110,h1459,,0.7285143456281005,111,h1199,
110,h3808,,0.6311236649603617,111,h1199,
110,h1493,,0.5665745701187399,111,h12,Passed
110,h1519,,0.979760106297675,111,h12,Passed
110,h105,Failed,0.5476040544418552,111,h1200,
110,h1200,,0.9899465203337454,111,h1200,
110,h1409,,0.5532164126014374,111,h1200,
110,h2954,,0.6234664547425143,111,h1200,
110,h3000,,0.5582131292604159,111,h1200,
110,h3682,,0.523239341088933,111,h1200,
110,h676,Passed,0.5913973495224781,111,h1200,
110,h1839,,0.9744845171563885,111,h1204,
110,h1946,,0.9524486231899311,111,h1204,
110,h1180,Passed,0.5559327003459328,111,h1205,
110,h1730,,0.5558921147248308,111,h1205,
110,h3360,,0.5356525532442614,111,h1205,
110,h3423,,0.7815235828998013,111,h1205,
110,h99,Passed,0.51653855363741,111,h1205,
